group,GX,GY,GZ,AX,AY,AZ
screwdriver,-41.02,-22.16,-24.17,0.61,-0.84,0.69
handdriver,-7.32,92.53,-4.09,-1.1,-0.31,0.54
screwdriver,-48.28,113.53,-60.0,1.0,-0.99,1.13
screwdriver,-6.53,-96.74,26.37,0.45,-0.8,0.28
screwdriver,-33.81,211.24,46.81,0.71,-1.15,0.14
handdriver,5.31,10.07,5.8,-0.97,-0.09,0.74
screwdriver,2.32,-54.32,26.49,0.17,-0.68,0.85
screwdriver,-16.42,90.52,0.31,0.81,-0.61,0.79
screwdriver,52.25,-386.05,-44.13,0.24,-0.84,0.54
handdriver,-16.78,53.22,-7.32,-0.11,-0.2,0.92
handdriver,-8.73,29.91,-0.55,-0.22,-0.09,0.89
handdriver,12.76,-114.99,2.01,-1.58,-0.02,-0.17
handdriver,-5.43,455.69,22.64,-0.02,-0.18,0.68
handdriver,-10.86,51.21,6.1,-0.31,0.05,0.81
screwdriver,-49.62,-23.99,-40.41,0.73,-0.99,1.02
handdriver,-18.62,147.83,5.92,-0.19,0.01,0.77
screwdriver,11.96,-6.35,7.14,0.39,-0.83,0.66
handdriver,7.63,-93.32,-5.43,-0.33,-0.05,0.72
handdriver,39.92,-446.84,-6.29,-0.26,-0.18,0.68
screwdriver,55.36,-102.36,4.7,0.76,-0.57,0.55
screwdriver,-22.89,283.51,18.49,0.91,-0.68,0.94
screwdriver,-11.41,-4.76,-2.44,0.22,-1.03,0.87
screwdriver,-36.19,-46.26,36.8,0.22,-0.67,0.45
handdriver,-19.35,322.02,14.71,-0.11,-0.16,0.66
handdriver,-26.98,283.14,11.84,-0.48,-0.09,0.69
handdriver,17.4,-79.96,13.49,-0.85,-0.15,0.74
handdriver,-46.69,210.33,37.29,-0.41,-0.24,0.75
screwdriver,-35.58,229.92,-3.78,-0.03,-0.54,0.37
screwdriver,33.39,-157.41,5.31,0.51,-0.44,0.59
handdriver,68.36,-361.02,-8.61,-0.89,-0.06,0.47
handdriver,31.01,-45.84,26.06,-1.26,-0.05,0.65
screwdriver,8.97,-274.05,4.15,0.2,-0.93,0.03
screwdriver,18.13,187.87,-17.58,-0.71,-0.81,0.84
handdriver,-1.04,-86.06,10.44,-0.49,0.01,0.61
handdriver,-3.48,-97.53,25.21,-0.57,-0.23,0.82
handdriver,17.64,-297.0,-4.7,-1.03,0.0,0.38
handdriver,4.52,-34.06,4.88,-0.43,-0.14,0.79
screwdriver,99.0,-94.6,0.37,0.22,-0.81,0.35
handdriver,-17.7,43.64,-7.32,-0.49,-0.07,0.81
handdriver,11.96,-38.02,-2.44,-0.4,-0.05,0.85
screwdriver,18.86,-357.73,4.03,-0.06,-0.85,0.47
handdriver,0.92,-12.08,14.34,-0.42,-0.17,0.91
screwdriver,30.64,-121.03,0.55,0.6,-0.73,0.59
handdriver,-36.56,559.45,20.69,-0.25,-0.2,0.53
handdriver,-4.21,42.66,10.86,-0.41,-0.01,0.82
handdriver,-18.98,80.63,9.16,-0.46,-0.13,0.77
screwdriver,84.47,-213.13,26.86,0.38,-0.78,0.44
screwdriver,-148.62,450.56,-102.05,1.79,-0.5,0.48
screwdriver,0.67,-9.03,3.85,0.28,-0.76,0.61
screwdriver,0.18,22.46,23.68,0.49,-0.45,0.68
handdriver,-27.1,134.7,3.48,-0.07,-0.28,1.01
handdriver,-27.47,166.63,16.66,-0.66,-0.07,0.7
handdriver,-10.19,73.49,-1.53,-0.59,-0.12,0.8
handdriver,-3.72,5.43,-1.4,-0.27,-0.12,0.92
handdriver,-21.3,104.31,2.99,-0.75,-0.15,0.73
screwdriver,30.15,-65.06,23.62,0.58,-0.72,0.54
handdriver,-0.55,14.95,5.13,-0.67,-0.06,0.79
screwdriver,-29.36,-80.51,36.01,0.4,-0.83,0.31
handdriver,0.0,-10.93,14.47,-0.91,-0.15,0.65
screwdriver,-19.04,-15.38,10.01,0.06,-0.53,0.86
screwdriver,-18.25,-20.57,22.09,0.43,-0.52,0.53
screwdriver,-41.56,297.18,-5.86,0.16,-1.03,0.15
screwdriver,31.07,-87.95,1.53,0.57,-0.67,0.5
handdriver,27.83,-167.24,15.99,-0.49,0.01,0.94
screwdriver,-32.96,-356.87,22.64,-0.63,-0.88,-0.22
screwdriver,-54.93,397.95,-37.29,0.39,-0.68,0.92
handdriver,22.09,-99.3,7.45,-0.48,-0.1,0.76
handdriver,10.01,-28.08,14.34,-0.58,-0.23,0.95
handdriver,22.58,-179.99,-0.43,-1.17,0.01,0.35
handdriver,21.12,-5.55,-17.15,-0.76,-0.24,0.85
screwdriver,-82.82,326.29,-13.67,0.46,-0.94,0.18
handdriver,-9.46,83.68,8.12,-0.83,-0.01,0.76
screwdriver,-14.16,-96.56,24.29,-0.06,-0.84,0.25
handdriver,-0.31,-145.87,0.31,-0.87,-0.06,0.48
screwdriver,88.38,-153.2,-12.51,0.49,-0.84,0.09
handdriver,4.58,-44.56,5.31,-0.56,-0.09,0.83
handdriver,-1.28,30.82,-0.06,-1.17,-0.18,0.24
handdriver,-29.48,333.19,13.43,-0.02,-0.24,0.61
handdriver,7.63,-70.25,-4.03,-0.21,-0.05,0.93
handdriver,23.68,71.78,17.15,-1.42,-0.11,0.32
screwdriver,145.57,-343.26,26.37,0.77,-0.72,0.12
screwdriver,48.71,-88.07,-12.57,0.79,-0.87,0.47
screwdriver,-41.63,202.21,-49.38,0.54,-0.76,0.78
screwdriver,13.85,-210.88,34.18,-0.13,-0.71,0.78
screwdriver,12.63,-97.47,8.0,-0.27,-0.81,0.94
screwdriver,-0.49,-96.62,14.95,0.08,-0.88,0.29
handdriver,25.94,-219.97,4.21,-0.96,-0.01,0.59
screwdriver,51.51,-111.51,13.18,0.55,-0.63,0.19
screwdriver,11.66,-156.86,8.12,-0.22,-0.66,0.94
handdriver,-12.02,403.5,7.02,-1.46,-0.09,0.13
screwdriver,0.37,-79.77,-5.55,-0.21,-0.84,0.56
screwdriver,62.68,-115.97,5.0,0.59,-0.68,0.21
screwdriver,-53.71,65.37,8.85,0.92,-0.69,0.12
screwdriver,-83.37,148.32,-8.85,0.65,-0.73,0.47
handdriver,4.03,-114.62,-4.21,-0.91,-0.08,0.57
screwdriver,3.97,-98.75,39.31,0.03,-0.93,0.51
handdriver,31.8,-227.84,9.77,-0.76,-0.18,1.02
screwdriver,-30.52,225.46,-9.52,0.16,-0.87,0.78
screwdriver,3.54,24.29,-8.3,0.05,-0.71,0.75
screwdriver,-61.83,421.94,-58.35,1.34,-0.85,0.35
handdriver,42.72,-428.16,18.25,-1.06,-0.08,-0.12
screwdriver,58.65,-234.01,-17.52,0.5,-0.98,0.18
screwdriver,36.25,-43.46,0.85,0.46,-0.66,0.15
handdriver,-19.47,99.43,18.31,-0.03,-0.08,0.92
screwdriver,-5.25,-36.19,9.83,0.38,-0.82,0.53
handdriver,-11.6,14.04,10.56,-0.34,-0.07,0.88
handdriver,-14.77,128.23,12.27,-1.03,-0.17,0.59
screwdriver,-5.62,-22.28,31.37,0.06,-0.93,0.51
handdriver,-51.45,112.85,0.92,-1.76,-0.24,0.48
handdriver,11.72,-58.47,1.65,-0.35,-0.04,0.8
screwdriver,13.31,-148.56,9.46,0.35,-0.6,0.63
screwdriver,19.1,-167.48,23.07,0.81,-0.55,0.36
screwdriver,-88.32,143.86,22.28,1.03,-0.65,0.25
handdriver,13.79,-30.88,7.69,-0.55,-0.08,0.87
screwdriver,2.26,-9.83,5.31,0.54,-0.7,0.33
screwdriver,0.37,-4.82,26.86,0.43,-0.79,0.51
screwdriver,5.43,-23.93,11.11,-0.01,-0.97,0.48
screwdriver,31.56,-265.2,4.64,-0.21,-0.73,0.66
handdriver,0.67,-46.45,-2.56,-0.15,-0.16,1.02
handdriver,17.94,-236.94,10.86,-0.59,-0.02,0.69
handdriver,-21.0,74.46,5.07,-0.44,-0.14,0.9
screwdriver,-6.35,-119.26,14.83,0.23,-0.52,0.54
screwdriver,71.9,-172.55,50.11,0.75,-0.86,0.27
screwdriver,-5.98,-5.98,12.88,0.41,-0.79,0.56
screwdriver,4.82,-98.51,-5.98,0.22,-0.74,0.21
handdriver,14.28,-76.6,10.31,-0.36,-0.08,0.87
handdriver,-12.51,343.2,2.81,-0.95,-0.2,0.35
screwdriver,-75.62,290.53,-18.62,0.48,-0.49,0.93
handdriver,-2.69,44.49,10.38,-0.61,-0.06,0.86
screwdriver,-63.48,145.32,27.28,-0.27,-0.75,-0.13
screwdriver,38.7,-69.52,8.24,0.29,-0.85,0.12
handdriver,13.79,4.15,26.37,-0.98,-0.09,0.79
screwdriver,26.49,-62.62,59.63,0.48,-0.44,0.89
screwdriver,17.46,-97.66,16.66,0.28,-0.66,1.01
handdriver,-20.02,197.45,15.14,-0.52,-0.06,0.85
handdriver,12.7,-93.2,3.78,-0.38,-0.12,0.93
screwdriver,-49.32,223.14,10.25,0.59,-0.6,0.2
handdriver,-25.45,99.85,12.63,-0.56,-0.16,0.72
screwdriver,23.99,-175.78,25.15,0.43,-0.51,0.54
screwdriver,19.71,-20.51,18.55,0.51,-0.93,0.79
screwdriver,26.0,50.6,-18.98,-0.37,-0.94,0.98
screwdriver,-94.91,321.04,-98.33,2.43,-1.06,0.98
screwdriver,44.43,-119.02,-2.44,0.73,-0.76,0.34
screwdriver,5.19,31.31,-44.13,0.17,-0.46,0.61
screwdriver,30.64,-103.39,22.16,0.54,-0.81,0.02
handdriver,13.73,-71.29,-9.52,-0.02,-0.09,1.03
screwdriver,-29.97,-221.5,43.88,-0.14,-0.95,0.34
handdriver,-11.11,186.46,19.41,-0.28,-0.2,0.91
screwdriver,14.71,-154.79,33.14,-0.13,-0.8,1.05
screwdriver,-35.34,116.58,35.89,0.67,-0.79,0.12
handdriver,36.07,-51.82,8.42,-1.26,-0.12,0.39
screwdriver,-71.53,298.65,6.77,0.16,-0.9,-0.07
screwdriver,10.38,-119.81,10.62,0.73,-0.62,0.52
screwdriver,21.97,-22.03,14.4,0.36,-0.89,0.3
screwdriver,1.46,-177.86,80.87,0.3,-0.72,0.12
handdriver,-14.71,55.79,2.75,-0.13,-0.08,0.92
screwdriver,39.49,-121.52,5.43,0.52,-0.81,0.03
handdriver,-16.85,132.69,8.67,-0.44,-0.2,0.81
handdriver,2.32,49.19,-6.77,-0.85,-0.17,0.72
handdriver,7.14,-12.33,-5.62,-0.05,-0.17,0.98
screwdriver,-31.86,603.76,-9.58,0.27,-0.8,0.9
handdriver,11.41,-12.76,13.06,-0.68,-0.12,0.86
screwdriver,117.98,-77.45,11.05,0.56,-0.71,0.33
screwdriver,-23.93,65.73,11.66,0.38,-0.56,0.15
handdriver,-0.92,-11.41,-0.85,-0.58,-0.13,0.82
handdriver,22.58,-2.2,-3.6,-0.88,-0.15,0.68
screwdriver,23.44,21.18,-5.86,0.09,-0.7,0.95
screwdriver,5.19,-205.38,36.13,0.03,-0.74,0.95
screwdriver,97.53,-188.78,50.35,0.38,-0.77,-0.07
handdriver,-26.86,292.18,-1.83,-0.51,-0.11,0.61
screwdriver,31.37,-147.83,29.72,0.71,-0.38,0.58
screwdriver,-23.74,101.99,21.79,0.72,-0.85,0.14
screwdriver,-7.26,97.66,51.94,0.34,-0.78,0.61
handdriver,5.68,-51.7,8.97,-1.01,-0.09,0.57
handdriver,30.09,-144.96,16.66,-1.22,-0.35,0.77
handdriver,19.9,-47.12,8.79,-0.58,-0.02,0.92
screwdriver,49.01,-439.58,12.02,0.41,-0.53,0.65
handdriver,9.95,-15.99,0.92,-0.54,-0.21,0.96
handdriver,-19.78,191.59,14.65,0.06,-0.16,0.84
handdriver,-2.93,-16.72,12.45,-0.61,-0.11,0.85
handdriver,-8.36,21.06,-1.28,-0.56,-0.09,0.8
screwdriver,-7.51,167.79,-6.35,0.22,-0.19,0.85
handdriver,27.28,-225.89,8.06,-0.33,-0.0,0.92
screwdriver,-20.39,-17.03,22.58,0.65,-0.64,0.47
screwdriver,21.42,-41.38,-22.46,0.63,-0.8,0.72
handdriver,-5.49,-9.4,5.92,-0.48,-0.21,0.91
handdriver,-0.85,-22.22,-2.5,-0.88,-0.08,0.79
handdriver,6.96,-47.06,17.21,-0.72,-0.1,0.89
screwdriver,-28.02,254.33,-20.2,0.73,-0.21,0.6
handdriver,4.33,-13.98,3.6,-0.46,-0.01,0.9
handdriver,-27.28,201.35,11.05,-0.4,-0.17,0.67
screwdriver,-14.89,88.07,-4.82,0.09,-0.57,-0.04
handdriver,-30.76,71.47,-14.59,-1.24,-0.27,0.39
handdriver,-14.1,8.06,-3.72,-0.56,-0.21,0.78
handdriver,-12.63,-6.16,-6.41,-0.67,-0.13,0.81
handdriver,18.8,-20.94,2.08,-0.52,-0.04,0.9
screwdriver,-5.62,-50.6,44.31,-0.13,-1.08,0.54
screwdriver,-29.97,183.35,-5.62,0.78,-0.55,0.73
screwdriver,-44.07,477.97,-20.26,-0.12,-0.54,0.64
screwdriver,-3.17,0.92,14.95,0.57,-0.58,0.44
screwdriver,15.44,-41.38,-17.52,0.45,-0.61,1.14
screwdriver,-9.83,-0.98,6.71,0.11,-0.51,0.95
screwdriver,34.97,-211.36,7.14,0.47,-0.75,0.34
handdriver,-4.76,2.93,8.79,-0.74,-0.4,0.86
handdriver,19.47,-98.94,6.47,-0.46,-0.01,0.89
handdriver,28.87,-460.63,-20.08,-0.76,-0.01,0.3
handdriver,-2.69,46.26,3.05,-1.12,-0.07,0.81
screwdriver,-20.87,-118.71,73.0,-0.22,-1.0,0.23
handdriver,9.09,-62.32,1.22,-0.3,-0.09,0.82
screwdriver,57.07,-128.36,-31.01,0.9,-0.51,0.38
handdriver,-6.77,35.4,-0.98,-1.09,-0.15,0.63
screwdriver,-15.38,16.17,-7.51,0.01,-0.7,0.83
handdriver,-27.22,77.03,4.58,-0.95,-0.13,0.9
screwdriver,41.56,-96.86,-23.19,0.53,-0.78,0.05
handdriver,-9.34,111.21,11.96,-0.55,-0.05,0.77
handdriver,0.92,29.3,-6.9,-0.55,-0.07,0.75
screwdriver,-2.69,-325.99,38.64,0.29,-0.56,0.47
handdriver,-23.13,12.63,6.1,-0.69,-0.08,0.67
handdriver,17.46,-59.63,12.82,-0.66,-0.35,0.99
handdriver,40.1,-296.57,0.61,-0.94,-0.06,0.63
screwdriver,-4.09,22.4,18.43,0.55,-0.71,0.45
handdriver,39.37,-414.55,22.34,-0.97,-0.0,0.16
screwdriver,47.36,-108.76,-16.97,0.42,-0.83,-0.02
handdriver,2.26,-61.95,9.52,-0.93,-0.16,0.88
handdriver,-17.52,61.28,-7.93,-0.56,-0.15,0.61
handdriver,12.51,20.32,15.81,-0.63,-0.06,0.57
handdriver,-10.01,47.85,5.25,-0.72,-0.21,0.76
screwdriver,50.11,1.16,36.32,-0.16,-0.65,0.68
screwdriver,5.8,-81.97,3.91,0.41,-0.71,0.26
handdriver,0.67,-79.53,4.52,-0.64,-0.06,0.76
screwdriver,99.24,-141.3,51.64,0.42,-0.83,0.36
screwdriver,29.91,-77.94,66.41,0.57,-0.42,0.91
handdriver,10.56,-4.27,0.43,-0.54,-0.22,0.95
screwdriver,-57.19,216.0,31.13,-0.2,-0.79,-0.18
screwdriver,7.63,-41.87,16.78,0.52,-0.44,0.5
screwdriver,-198.24,723.94,26.79,-1.53,-2.09,0.04
screwdriver,17.88,-313.66,13.37,0.29,-0.52,0.43
screwdriver,5.86,82.58,33.57,0.01,-0.8,0.31
handdriver,-4.82,9.34,2.08,-0.62,-0.11,0.71
screwdriver,1.4,44.19,-18.37,-0.05,-0.81,0.59
screwdriver,-2.5,-254.39,17.88,0.17,-0.91,0.12
handdriver,-28.75,61.89,6.29,-0.39,0.02,0.71
screwdriver,0.85,20.39,-19.59,0.07,-0.59,0.77
screwdriver,53.77,-70.31,35.52,0.23,-0.75,0.25
screwdriver,10.93,-121.58,35.83,-0.15,-0.66,1.01
handdriver,16.17,-30.64,17.09,-0.53,-0.07,0.86
handdriver,10.8,-15.69,16.72,-0.66,-0.08,1.0
screwdriver,58.23,285.71,-78.98,0.04,-0.72,1.32
screwdriver,-31.13,78.0,-14.34,0.18,-0.72,0.39
handdriver,3.97,190.06,22.16,-1.48,-0.21,0.26
handdriver,38.45,-157.47,4.39,-0.53,-0.08,0.97
screwdriver,-36.01,644.41,14.04,0.93,-1.02,0.59
screwdriver,22.28,-174.19,33.45,0.07,-0.81,0.99
handdriver,22.77,-182.19,12.27,-0.67,-0.1,0.74
handdriver,-48.95,303.65,-0.79,-0.99,-0.18,0.47
screwdriver,-14.89,91.19,-21.36,0.74,-0.69,0.34
screwdriver,-33.87,181.27,17.82,-0.69,-1.23,-0.02
screwdriver,29.85,-55.73,-3.42,0.57,-0.85,0.68
handdriver,20.63,-196.53,9.34,-0.84,-0.05,0.64
handdriver,36.93,-264.16,-10.01,-0.98,-0.04,0.22
screwdriver,-28.26,-44.19,37.84,0.16,-0.93,0.54
screwdriver,33.69,-171.63,16.05,0.39,-0.42,0.63
screwdriver,-40.22,84.84,-4.64,0.6,-0.76,0.33
handdriver,-11.54,54.2,-0.92,-0.4,0.0,0.91
handdriver,1.46,-81.91,6.41,-0.36,0.04,0.84
handdriver,37.29,-92.9,15.69,-0.39,-0.08,0.91
screwdriver,-104.55,171.39,-12.7,2.0,-0.63,0.39
screwdriver,-14.83,2.44,-13.12,-0.0,-0.67,0.89
screwdriver,0.31,-27.28,11.66,0.5,-0.55,0.63
screwdriver,-7.08,-270.69,10.38,0.22,-0.98,0.31
screwdriver,15.26,-62.56,36.99,0.02,-1.03,0.18
handdriver,24.35,-303.59,-12.82,-0.74,0.01,0.57
handdriver,-32.17,86.79,1.71,-1.49,-0.27,0.31
screwdriver,7.51,6.84,7.08,0.38,-0.8,0.61
handdriver,-29.3,595.4,13.49,-0.53,-0.23,0.39
screwdriver,6.29,-26.55,-2.87,0.15,-0.65,0.41
handdriver,-7.45,24.72,3.23,-0.5,-0.18,0.9
handdriver,0.73,-39.37,2.08,-0.25,-0.13,1.04
handdriver,-20.2,354.74,8.24,-0.62,-0.08,0.56
handdriver,8.06,4.46,0.06,0.03,-0.1,1.02
handdriver,3.72,-55.66,8.85,-0.7,-0.11,0.67
screwdriver,-19.96,-96.25,12.76,-0.06,-0.95,0.32
screwdriver,-70.8,602.36,-8.06,1.1,-0.61,0.7
handdriver,20.2,-147.4,-10.74,-0.49,-0.12,0.78
screwdriver,-11.47,215.88,-0.98,0.91,-0.48,0.79
handdriver,7.2,-2.69,-5.31,0.03,-0.14,1.14
screwdriver,23.32,-303.04,-10.93,0.43,-0.86,0.06
screwdriver,2.93,-55.91,16.6,0.23,-0.64,0.74
handdriver,10.38,-85.51,13.49,-0.79,-0.08,0.91
handdriver,6.04,-4.7,4.94,-0.49,0.05,0.86
screwdriver,-19.41,-19.53,35.83,0.44,-0.74,0.17
handdriver,8.3,-42.18,3.17,-0.42,-0.01,0.74
screwdriver,-52.43,59.94,-80.93,-0.19,-0.3,0.68
handdriver,9.34,-4.21,12.51,-0.61,-0.18,0.91
handdriver,-20.14,2.75,-1.83,-0.62,-0.18,0.85
handdriver,-20.2,197.63,9.64,0.0,-0.29,0.98
handdriver,7.51,-12.39,12.02,-1.15,-0.12,0.52
screwdriver,-115.17,530.94,3.36,0.17,-0.93,-0.48
screwdriver,14.65,-9.22,18.13,0.62,-0.77,0.27
screwdriver,43.7,-472.9,-3.6,0.33,-0.58,0.45
screwdriver,17.7,-67.75,-12.27,0.44,-0.68,0.48
screwdriver,84.47,-294.68,-20.08,1.23,-0.72,0.09
screwdriver,-25.76,-9.64,3.17,0.83,-0.74,0.47
screwdriver,-0.67,-304.69,-0.55,0.54,-1.0,0.34
screwdriver,-8.97,-82.15,68.73,-0.11,-1.0,0.36
handdriver,-9.03,4.27,2.81,-0.71,-0.12,0.73
handdriver,-15.87,105.96,9.95,-0.8,-0.08,0.73
screwdriver,24.41,-412.54,-5.49,-0.46,-0.8,0.18
handdriver,9.52,-95.58,6.1,-0.75,-0.16,0.8
screwdriver,-3.05,26.25,-26.25,0.06,-0.52,0.76
screwdriver,-26.98,163.45,28.69,-0.37,-1.13,0.15
handdriver,13.31,-47.97,8.06,-0.87,-0.12,0.66
screwdriver,-42.11,121.52,13.92,0.65,-0.69,0.2
handdriver,9.28,-137.57,3.42,-0.12,0.02,0.73
screwdriver,0.12,515.44,-14.16,-0.6,-0.7,0.2
screwdriver,19.96,159.42,-2.69,-0.42,-1.02,0.63
screwdriver,7.57,-68.73,18.8,0.36,-0.42,0.55
handdriver,-27.77,122.62,2.75,-0.17,-0.01,0.68
handdriver,0.67,-116.21,10.99,-0.72,-0.11,0.74
handdriver,-21.24,58.78,-1.46,-1.42,-0.26,0.44
screwdriver,13.24,419.56,-50.78,0.01,-1.04,1.02
handdriver,4.33,-6.65,11.78,-0.54,-0.1,0.87
handdriver,8.06,-49.87,12.7,-1.03,0.02,0.62
handdriver,-26.55,263.55,7.93,-0.52,-0.11,0.69
handdriver,5.62,-29.54,3.97,-0.93,-0.1,0.72
screwdriver,4.76,-22.46,-32.9,0.64,-0.9,0.25
screwdriver,-19.96,37.23,-2.69,0.45,-0.72,0.17
screwdriver,6.41,-56.15,25.88,0.75,-0.81,0.44
screwdriver,-21.61,82.7,10.93,0.44,-0.8,0.41
screwdriver,-5.07,46.14,15.44,0.65,-0.43,0.73
screwdriver,-4.39,-33.45,11.23,0.52,-0.58,0.47
handdriver,-1.04,-16.78,8.54,-0.64,-0.11,0.86
screwdriver,-7.32,159.18,-34.67,-0.49,-1.04,1.2
handdriver,-26.37,119.26,-13.79,-0.55,-0.29,1.02
handdriver,-15.5,63.29,-7.39,-0.28,-0.15,0.81
screwdriver,36.99,-358.76,-3.05,0.73,-0.75,0.27
screwdriver,-20.45,163.94,1.77,1.1,-0.56,0.66
screwdriver,-48.83,46.63,-5.62,0.7,-0.82,0.19
handdriver,27.16,-214.6,8.48,-0.23,-0.11,0.77
screwdriver,-4.15,23.74,-18.37,0.36,-0.67,0.28
handdriver,20.14,-81.97,8.0,-0.28,0.01,0.94
handdriver,3.23,4.27,7.39,-0.69,-0.1,0.72
screwdriver,-40.34,-60.42,54.99,-0.37,-0.99,0.22
handdriver,4.33,2.69,2.2,-0.78,-0.09,0.85
screwdriver,-3.91,-13.79,41.38,-0.2,-0.97,0.51
screwdriver,-6.71,-164.06,22.03,-0.2,-0.68,1.02
screwdriver,29.05,-168.76,19.96,-0.07,-0.75,1.0
screwdriver,28.32,2.87,-7.93,0.49,-0.92,0.4
handdriver,-19.59,199.83,-0.79,-0.84,-0.05,0.6
handdriver,15.63,-4.52,9.83,-0.55,-0.2,0.95
handdriver,3.54,-8.12,9.77,-0.45,-0.11,0.86
screwdriver,-19.65,137.63,-10.86,0.19,-0.69,0.6
handdriver,15.93,-3.17,10.93,-0.08,0.05,0.83
screwdriver,-11.84,-62.87,-10.01,0.49,-0.86,0.43
screwdriver,-11.54,388.18,-4.7,0.82,-0.44,0.74
screwdriver,-11.41,-19.17,5.37,0.17,-0.63,0.82
screwdriver,-10.07,-11.9,23.5,0.62,-0.48,0.44
handdriver,4.76,-4.33,4.21,-0.6,-0.25,0.93
handdriver,1.77,-36.62,9.83,-0.45,-0.21,0.99
screwdriver,6.9,-74.4,21.42,0.55,-0.55,0.51
handdriver,18.43,-28.93,-1.28,-1.16,-0.07,0.53
handdriver,19.78,-213.99,-9.03,-0.55,-0.15,0.79
screwdriver,30.4,-219.73,48.83,0.47,-0.37,0.86
screwdriver,1.34,-102.17,25.57,0.16,-0.85,0.7
handdriver,-18.62,-3.72,9.89,-0.25,-0.02,0.88
handdriver,15.56,-76.6,-1.89,-0.83,-0.18,0.52
handdriver,10.01,-95.58,7.14,-0.83,-0.05,0.78
handdriver,7.26,-80.14,-3.3,-0.39,0.01,0.71
handdriver,16.42,-122.25,14.83,-0.12,-0.13,1.0
handdriver,14.95,-338.93,-10.93,-0.67,-0.01,0.54
handdriver,-28.5,121.03,-5.92,-0.31,-0.3,0.95
screwdriver,-47.18,140.32,37.96,-0.12,-0.79,0.3
screwdriver,44.25,-193.66,28.08,0.65,-0.52,0.94
handdriver,2.26,13.43,9.4,-1.84,-0.13,0.36
handdriver,11.35,-238.89,-8.54,-0.47,-0.1,0.7
screwdriver,0.0,-6.77,5.49,0.48,-0.79,0.54
handdriver,-1.34,-20.02,1.53,-0.62,-0.06,0.7
handdriver,13.98,-35.22,4.15,-0.42,-0.06,0.89
handdriver,6.16,22.64,12.82,-0.99,-0.15,0.54
screwdriver,-56.64,102.23,-34.55,1.41,-0.95,0.82
handdriver,-51.21,124.57,5.37,-0.64,-0.06,0.87
screwdriver,-8.97,4.88,-19.17,0.3,-0.56,0.3
screwdriver,-45.78,224.91,-5.68,0.02,-0.87,0.5
handdriver,3.91,-15.75,-0.06,-0.34,-0.11,0.98
screwdriver,8.42,-213.5,27.1,0.51,-0.85,0.33
handdriver,-8.12,-196.04,-1.59,-0.42,-0.07,0.77
handdriver,-27.71,38.94,5.13,-0.38,-0.22,0.99
screwdriver,12.39,-105.47,4.52,0.64,-0.46,0.68
screwdriver,11.96,-191.04,18.19,0.63,-0.61,0.48
screwdriver,-0.85,-17.46,34.0,0.57,-0.78,0.44
screwdriver,-0.24,171.39,26.06,-0.07,-1.15,-0.04
screwdriver,-38.7,112.61,-18.74,0.63,-0.68,0.35
handdriver,-9.16,23.44,-2.26,-1.2,-0.21,0.42
screwdriver,11.9,-116.82,25.45,0.7,-0.45,0.48
handdriver,-8.48,22.46,6.96,-0.65,-0.08,0.81
screwdriver,59.33,-71.11,-21.91,0.35,-0.76,0.13
screwdriver,-14.04,-4.03,22.46,0.4,-0.53,0.59
screwdriver,-17.76,-20.51,17.64,-0.08,-0.69,0.69
handdriver,12.76,-5.43,5.07,-0.47,-0.13,0.9
screwdriver,3.91,-22.22,17.7,0.35,-0.65,0.71
handdriver,-26.25,148.01,13.85,-0.25,-0.04,0.72
screwdriver,24.11,-58.72,37.54,0.35,-0.85,0.96
screwdriver,-19.65,4.15,15.2,0.54,-0.66,0.26
handdriver,1.59,-24.35,1.4,-0.35,-0.21,1.0
handdriver,-32.53,505.43,18.62,-0.62,-0.28,0.54
screwdriver,30.15,-325.99,26.0,0.45,-0.74,0.67
handdriver,-27.1,106.38,-0.67,-0.49,-0.16,0.86
handdriver,4.94,-22.03,3.6,-0.12,-0.23,1.06
handdriver,-18.43,146.36,4.21,-0.66,-0.18,0.7
handdriver,-11.54,338.26,3.97,-0.95,-0.13,0.57
screwdriver,10.62,-115.36,-16.3,0.64,-0.92,0.72
screwdriver,-33.63,-69.64,61.58,0.18,-0.9,0.35
handdriver,42.48,-417.3,14.1,-1.36,-0.11,-0.33
screwdriver,17.7,-236.21,11.05,0.35,-0.63,0.48
handdriver,12.27,-69.4,-4.15,-0.69,-0.04,0.81
screwdriver,-14.89,12.57,9.4,0.82,-0.83,0.38
screwdriver,-12.82,174.26,-37.78,-0.37,-0.79,0.87
handdriver,7.87,-27.83,8.73,-0.75,-0.12,0.77
screwdriver,-112.73,521.79,6.53,0.39,-0.91,0.13
handdriver,-4.88,29.48,-3.78,-0.76,-0.14,0.64
handdriver,-1.16,2.62,5.55,-0.79,-0.11,0.66
screwdriver,35.16,-322.39,26.37,0.71,-0.46,0.61
handdriver,-10.38,39.55,6.71,-0.81,-0.07,0.7
screwdriver,29.11,-47.61,22.71,0.39,-0.73,0.43
handdriver,-7.57,-120.42,-12.94,-0.73,-0.08,0.64
screwdriver,-9.83,-154.54,22.58,0.63,-0.5,0.41
screwdriver,-88.44,207.76,-12.15,0.43,-0.85,0.46
handdriver,21.97,-151.12,8.36,-0.74,-0.01,0.77
screwdriver,-2.75,-26.0,15.32,0.51,-0.54,0.63
screwdriver,-11.54,60.12,-17.03,0.19,-0.66,0.28
